psgc,name,correspondence_code,geographic_level,old_names,city_class,income_classification,urban_rural,population_2015,,population_2020,,status
1908812005,Kateman,153825005,Bgy,,,,R,839,,1091,,
1908812004,Kalumamis,153825004,Bgy,,,,R,1641,,1872,,
1908812003,Datalpandan,153825003,Bgy,,,,R,1700,,1998,,
1908812002,Bagan,153825002,Bgy,,,,R,3372,,3574,,
1908812001,Ahan,153825001,Bgy,,,,R,1002,,1112,,
1908812000,Guindulungan,153825000,Mun,,,-,,19911,,24933,,
1908811019,Upper Lasangan,153819022,Bgy,,,,R,596,,685,,
1908811018,Sumakubay,153819021,Bgy,,,,R,713,,927,,
1908811017,Sadangen,153819020,Bgy,,,,R,546,,753,,
1908811016,Quipolot,153819019,Bgy,,,,R,686,,956,,
1908811015,Pidtiguian,153819018,Bgy,,,,R,680,,916,,
1908811014,Tonggol,153819017,Bgy,,,,R,1759,,1863,,
1908811013,Ramcor,153819016,Bgy,,,,R,2511,,2548,,
1908811012,Panosolen,153819015,Bgy,,,,R,934,,1086,,
1908811011,Midpandacan,153819013,Bgy,,,,R,1896,,1960,,
1908811010,Midconding,153819012,Bgy,,,,R,2040,,2290,,
1908811009,Makainis,153819011,Bgy,,,,R,1349,,1466,,
1908811008,Lumabao,153819010,Bgy,,,,R,1536,,1688,,
1908811007,Lower Idtig,153819009,Bgy,,,,R,1762,,2075,,
1908811006,Lasangan,153819008,Bgy,,,,R,1856,,1925,,
1908811005,Lao-lao,153819007,Bgy,,,,R,1060,,1151,,
1908811004,Kulasi,153819006,Bgy,,,,R,1295,,1352,,
1908811003,Kaladturan,153819005,Bgy,,,,R,1248,,1386,,
1908811002,Bulod,153819002,Bgy,,,,R,1631,,1714,,
1908811001,Badak,153819001,Bgy,,,,R,4005,,4522,,
1908811000,Gen. S.K. Pendatun,153819000,Mun,,,4th*,,28103,,31263,,
1908810008,Tuntungan,153827010,Bgy,,,,R,517,,699,,
1908810007,Panangeti,153827008,Bgy,,,,R,781,,958,,
1908810006,Meta,153827006,Bgy,,,,R,3071,,3391,,
1908810005,Malangog,153827005,Bgy,,,,R,1378,,1455,,
1908810004,Maitumaig,153827004,Bgy,,,,R,2186,,2375,,
1908810003,Macalag,153827003,Bgy,,,,R,678,,682,,
1908810002,Iganagampong,153827002,Bgy,,,,R,2547,,2639,,
1908810001,Bulayan,153827001,Bgy,,,,R,655,,691,,
1908810000,Datu Unsay,153827000,Mun,,,5th,,11813,,12890,,
1908809008,Salbu,153826013,Bgy,,,,R,3640,,4591,,
1908809007,Madia,153826010,Bgy,,,,R,3024,,3564,,
1908809006,Kitapok,153826009,Bgy,,,,R,3986,,4096,,
1908809005,Kitango,153826008,Bgy,,,,U,5483,,6139,,
1908809004,Kabengi,153826007,Bgy,,,,R,2041,,2425,,
1908809003,Gawang,153826005,Bgy,,,,R,2155,,2586,,
1908809002,Elian,153826003,Bgy,,,,R,3086,,3575,,
1908809001,Dapiawan,153826002,Bgy,,,,R,3012,,4084,,
1908809000,Datu Saudi Ampatuan,153826000,Mun,,,4th,,26427,,31060,,
1908808017,Tee,153836017,Bgy,,,,R,221,,433,,
1908808016,Sambulawan,153836016,Bgy,,,,U,4000,,5053,,
1908808015,Penditen,153836015,Bgy,,,,R,669,,1083,,
1908808014,Pandi,153836014,Bgy,,,,R,491,,1003,,
1908808013,Pagatin,153836013,Bgy,,,,R,2458,,2510,,
1908808012,Masigay,153836012,Bgy,,,,R,132,,246,,
1908808011,Magaslong,153836011,Bgy,,,,R,812,,898,,
1908808010,Liong,153836010,Bgy,,,,R,182,,207,,
1908808009,Kalipapa,153836009,Bgy,,,,R,491,,552,,
1908808008,Duaminanga,153836008,Bgy,,,,R,415,,474,,
1908808007,Damabalas,153836007,Bgy,,,,R,206,,495,,
1908808006,Dado,153836006,Bgy,,,,R,529,,569,,
1908808005,Butilen,153836005,Bgy,,,,R,1664,,1772,,
1908808004,Buayan,153836004,Bgy,,,,R,1496,,1541,,
1908808003,Balanakan,153836003,Bgy,,,,R,136,,232,,
1908808002,Andavit,153836002,Bgy,,,,R,437,,1075,,
1908808001,Alonganan,153836001,Bgy,,,,R,608,,652,,
1908808000,Datu Salibo,153836000,Mun,,,-,,14947,,18795,,
1908807016,Reina Regente,153806035,Bgy,,,,R,1049,,1100,,
1908807015,Poblacion,153806034,Bgy,Dulawan,,,U,9463,,9806,,
1908807014,Montay,153806030,Bgy,,,,R,512,,654,,
1908807013,Masigay,153806029,Bgy,,,,R,554,,713,,
1908807012,Magaslong,153806028,Bgy,,,,U,881,,932,,
1908807011,Liong,153806025,Bgy,,,,R,507,,1090,,
1908807010,Kanguan,153806039,Bgy,,,,R,2706,,2943,,
1908807009,Kalipapa,153806021,Bgy,,,,R,752,,836,,
1908807008,Duaminanga,153806015,Bgy,,,,R,1513,,1579,,
1908807007,Damabalas,153806011,Bgy,,,,R,402,,613,,
1908807006,Dado,153806010,Bgy,,,,R,1085,,1108,,
1908807005,Buayan,153806008,Bgy,,,,R,3207,,3690,,
1908807004,Balong,153806006,Bgy,,,,R,654,,692,,
1908807003,Balanakan,153806005,Bgy,,,,R,921,,1018,,
1908807002,Ambadao,153806002,Bgy,,,,R,557,,694,,
1908807001,Alonganan,153806001,Bgy,,,,R,837,,912,,
1908807000,Datu Piang,153806000,Mun,,,2nd,,25600,,28380,,
1908806023,Sepaka,153805011,Bgy,,,,R,1257,,1302,,
1908806022,Salendab,153805027,Bgy,,,,R,870,,1067,,
1908806021,Puya,153805010,Bgy,,,,R,705,,893,,
1908806020,Poblacion,153805026,Bgy,,,,U,4985,,6079,,
1908806019,Palao sa Buto,153805015,Bgy,,,,R,1004,,1352,,
1908806018,Napok,153805025,Bgy,,,,R,914,,1143,,
1908806017,Mao,153805024,Bgy,,,,R,712,,885,,
1908806016,Manindolo,153805008,Bgy,,,,R,1041,,1359,,
1908806015,Mangadeg,153805007,Bgy,,,,R,1008,,1196,,
1908806014,Malala,153805006,Bgy,,,,R,1088,,1210,,
1908806013,Makat,153805023,Bgy,,,,R,762,,835,,
1908806012,Madidis,153805022,Bgy,,,,R,1365,,1609,,
1908806011,Lomoyon,153805013,Bgy,,,,R,1033,,1131,,
1908806010,Lipao,153805021,Bgy,,,,R,914,,996,,
1908806009,Katil,153805004,Bgy,,,,R,831,,1005,,
1908806008,Kalumenga,153805014,Bgy,Kalumanga,,,R,956,,1174,,
1908806007,Elbebe,153805020,Bgy,,,,R,556,,692,,
1908806006,Datang,153805019,Bgy,,,,R,1522,,1743,,
1908806005,Damawato,153805003,Bgy,,,,R,2009,,2281,,
1908806004,Damalusay,153805016,Bgy,,,,R,1288,,1448,,
1908806003,Bulod,153805018,Bgy,,,,R,997,,1140,,
1908806002,Bonawan,153805017,Bgy,,,,R,830,,1153,,
1908806001,Alip,153805001,Bgy,,,,R,1740,,1989,,Pob.
1908806000,Datu Paglas,153805000,Mun,,,4th,,28387,,33682,,
1908805011,Tuntungan,153835011,Bgy,,,,R,1373,,1399,,
1908805010,Tuayan I,153835009,Bgy,,,,R,1737,,1940,,
1908805009,Tuayan,153835008,Bgy,,,,R,3536,,3797,,
1908805008,Talibadok,153835007,Bgy,,,,R,3056,,3360,,
1908805007,Taib,153835006,Bgy,,,,R,1428,,1549,,
1908805006,Sayap,153835005,Bgy,,,,R,2015,,2090,,
1908805005,Macalag,153835010,Bgy,,,,R,1103,,1191,,
1908805004,Limpongo,153835004,Bgy,,,,R,3557,,3791,,
1908805003,Labu-labu II,153835003,Bgy,,,,R,3173,,3311,,
1908805002,Labu-labu I,153835002,Bgy,,,,R,2386,,2488,,
1908805001,Kubentong,153835001,Bgy,,,,R,1648,,1744,,
1908805000,Datu Hoffer Ampatuan,153835000,Mun,,,-,,25012,,26660,,
1908804007,Tulunan,153831007,Bgy,,,,R,1777,,2365,,
1908804006,Tugal,153831006,Bgy,,,,R,3639,,3978,,
1908804005,Nunangan,153831005,Bgy,Nunangen,,,R,3841,,4062,,
1908804004,Midtimbang ,153831004,Bgy,,,,R,3423,,3902,,Pob.
1908804003,Mapayag,153831003,Bgy,,,,R,3501,,3685,,
1908804002,Brar,153831002,Bgy,,,,U,5380,,6376,,
1908804001,Adaon,153831001,Bgy,,,,R,3455,,3856,,
1908804000,Datu Anggal Midtimbang,153831000,Mun,,,-,,25016,,28224,,
1908803010,Tukanolocong,153828010,Bgy,Tukanologong,,,R,3016,,3963,,
1908803009,Talisawa,153828009,Bgy,,,,R,2242,,3948,,
1908803008,Sugadol,153828008,Bgy,,,,R,3003,,3188,,
1908803007,Maranding,153828007,Bgy,,,,R,2059,,2184,,
1908803006,Mao,153828006,Bgy,,,,R,1795,,1948,,
1908803005,Maganoy,153828005,Bgy,,,,R,2022,,2589,,
1908803004,Kaya-kaya,153828004,Bgy,,,,R,2993,,3590,,
1908803003,Guinibon,153828003,Bgy,,,,R,2012,,2578,,
1908803002,Dimampao,153828002,Bgy,,,,R,2022,,2269,,
1908803001,Banaba,153828001,Bgy,,,,R,2714,,3860,,
1908803000,Datu Abdullah Sangki,153828000,Mun,,,-,,23878,,30117,,
1908802007,Upper Siling,153803054,Bgy,,,,R,2208,,2581,,
1908802006,Talitay,153803045,Bgy,,,,R,2408,,2832,,
1908802005,Popol,153803040,Bgy,,,,R,1904,,2393,,
1908802004,Poblacion,153803039,Bgy,,,,U,25370,,29702,,
1908802003,Maslabeng,153803030,Bgy,,,,U,8940,,10341,,
1908802002,Lower Siling,153803023,Bgy,,,,R,1488,,1592,,
1908802001,Digal,153803008,Bgy,,,,U,7690,,7965,,
1908802000,Buluan,153803000,Mun,,,4th*,,50008,,57406,,Capital
1908801011,Salman,153801035,Bgy,,,,R,3989,,4435,,
1908801010,Tubak,153801032,Bgy,,,,R,902,,1247,,
1908801009,Tomicor,153801031,Bgy,,,,R,1076,,1283,,
1908801008,Saniag,153801028,Bgy,,,,R,1158,,1308,,
1908801007,Matagabong,153801022,Bgy,,,,R,881,,1098,,
1908801006,Malatimon,153801018,Bgy,,,,R,1361,,1526,,
1908801005,Kauran,153801015,Bgy,,,,U,5001,,6517,,
1908801004,Kapinpilan,153801014,Bgy,,,,R,1915,,2310,,
